id,screen_name,description,label
3022357312,pattavis,,bot
753659579582541824,PromotingLouisT,"➡ here we promote all of the boys' music 🐼💖

➡ DM me if you want a flyer in your own language to do promo in your country ⭐
‼️NEW PROJECT: #1DMITAMPROJECT ‼️",bot
901802279623417856,Anna10mila,Sii il cambiamento,human
2982392825,AlleHanna,,bot
825436422609969152,ZaffiroBlu3,Se puoi sognarlo puoi farlo 💙,bot
971039774726377474,Marghe_Paro,,human
1012258265772720128,1D97435172,,bot
1001873627506233346,50shadesofsfiga,,human
3414414435,Peugeotcrew,Gruppo di pazzi amanti del Leone francese,bot
617000584,bastardo42,Buonista UN CAZZOll,human
816718293142740992,ShamelessAndGay,"You like me best when I'm off my rocker
🌈🌈",human
978899289861754880,Ele108294,"Lettrice accanita, malata di serie tv e adepta di Walt Disney. Amante di Tolstoj e ipocondriaca di professione, da grande voglio essere come Frank Underwood.",human
3070640794,Cappellaio87,,bot
1449933242,LBrogialdi,ComuniC(re)ativa Insulino(Accattiv)ante Curiosa(da perderci lo Zampino) Mamma(PerPassione) Cuoca(PerCaso) Photo (Dipendente) AmoreReiki&Simpatia,human
850371251277352960,PaolaBarbanera,"Guida Turistica di Roma e provincia Rome Tourist Guide since 1994
#romevaticantourguide #paolarometouristguide #paolaguidaroma
⭐️⭐️⭐️⭐️⭐️",human
757515891403788288,RobyAlpha,"Perché grazie al profumo della tua pelle, posso vederlo. Posso respirarlo.  #Stilesnellanima",human
2921287407,filippotrav,,bot
1002691095829057538,Chloe_Lou_Rose,24|math student|psychology books|Il Volo.🌻,bot
839181003449110530,antodamario1982,,bot
2617299705,bbenzoval,"sì, parlo molto",human
4611389296,0nedangels,"“if you are black, if you are white, if you are gay, if you are straight, if you are transgender, whoever you are, I love you all.” -Harry Styles🏳️‍🌈",human
727469564901076992,sonia_ariu,,bot
550410719,AnnaMinervini1,"Nulla si può annullare di chi , ti entra negli occhi , cammina verso l'anima e ti attraversa il cuore❤️...",bot
975703783475949568,4NG3L0NF1R3,☆ My name is Hélène. I’m a sunny girl in love with Harry Styles.,bot
1048754004,lindascanona,,bot
14871003,gbgallus,"Lawyer, #ISO27001 Lead Auditor, #freesoftware advocate, former president of @CircoloGT, @nexacenter Fellow. @UCL Alumnus. #ITLaw, #privacy, #security & #drones.",human
4798069173,righettifrance1,,bot
165051584,_diana87,Cinema & TV series freelance journalist for @SpoilerTV @OptiMagazine #FoxLife. Former translator #OsservatorioIraq / fan account https://t.co/ABQ86l9lM0,human
3825988815,Luca10adp,"Chi non osa nulla, non speri in nulla.",human
991332558,GianturcoMira,,human
231999899,Diletta123,"«La mia Musica, io e Voi...»",bot
96738439,oloapmarchi,"Born in Milan, march 1955, journalist, his job is Identità Golose in Milan, Rome, Cortina, London, New York, Chicago, Boston and more.",human
830683244,Beatiste,"Non ti accontentare mai di ciò che sei, se vuoi arrivare a ciò che ancora non sei... Sant'Agostino",human
1011238575399165959,1dalwaysinmyhe1,"ONE DIRECTION💫
LEGENDS NEVER DIE❤🤞
I LOVE YOU GUYS😻",human
337161893,essexelle,Le etichette sono per i prodotti non per le persone. Mi comporto come un fluido non newtoniano. Combatto ogni giorno una guerra invisibile con l' #asperger,human
781179765843750912,nalitinelli,,human
1428293736,sb_728,,human
972313916578713600,LuanaPirri,,bot
825397260032811012,isolafelice21,,bot
2365823596,nonnagri,Astenersi antifascisti di nome e pdioti saccenti del cazzo,human
822123492216897540,TheVoiceIsVS,,bot
2998480923,GInterrato,,bot
2199622261,FabioRoscioli,Programmatore,human
2982498327,lontano2009,,bot
